K1,K2,K3,average,difficulty,,,output,,,,,,
8,44,50,57.98,348,341,,,,,,,,
50,41,39,51.23,379,292,,,,,,,,
44,44,60,60.9,460,311,,,,,,,,
19,43,52,73.28,375,329,,,,,,,,
30,60,65,55.41,500,323,,,,,,,,
19,55,71,39.12,487,336,,,,,,,,
1,35,15,66.3,167,327,,,,,,,,
50,22,21,52.89,250,269,,,,,,,,
25,54,14,81.49,268,288,,,,,,,,
24,90,42,82.8,486,312,,,,,,,,
15,47,17,26.83,239,303,,,,,,,,
14,76,49,66.74,452,325,,,,,,,,
46,4,7,26.97,132,232,,,,,,,,
2,74,39,83.82,382,332,,,,,,,,
16,63,26,56.25,325,310,,,,,,,,
49,12,10,65.42,174,245,,,,,,,,
32,46,12,87.31,250,278,,,,,,,,
42,66,73,87.58,574,317,,,,,,,,
20,52,14,85.82,252,293,,,,,,,,
21,57,8,36.17,245,285,,,,,,,,
2,16,38,54.8,204,364,,,,,,,,
6,66,15,26.15,270,310,,,,,,,,
36,86,40,90.14,490,302,,,,,,,,
40,15,24,81.92,221,280,,,,,,,,
2,77,37,43.78,383,330,,,,,,,,
3,30,54,56.01,312,359,,,,,,,,
8,23,4,63.56,101,289,,,,,,,,
24,38,32,32.61,290,309,,,,,,,,
18,23,44,68.21,281,331,,,,,,,,
18,66,76,52.34,538,336,,,,,,,,
49,52,37,50.22,402,291,,,,,,,,
37,81,39,69.47,473,301,,,,,,,,
18,88,23,57.72,392,304,,,,,,,,
50,6,72,78.91,406,317,,,,,,,,
35,61,62,81.73,501,317,,,,,,,,
41,89,73,67.01,641,316,,,,,,,,
12,37,3,27.77,147,283,,,,,,,,
8,74,55,67.31,458,334,,,,,,,,
49,26,79,82.17,492,319,,,,,,,,
17,8,80,37.35,378,360,,,,,,,,
47,77,3,67.78,337,265,,,,,,,,
22,49,41,33.28,355,317,,,,,,,,
0,38,44,64.04,290,354,,,,,,,,
3,8,63,76.51,282,381,,,,,,,,
10,35,65,33.84,385,350,,,,,,,,
22,53,34,57.56,339,311,,,,,,,,
17,58,47,70.88,396,325,,,,,,,,
0,28,68,79.37,356,371,,,,,,,,
17,50,70,59.94,464,339,,,,,,,,
26,20,33,59.73,244,309,,,,,,,,
18,45,28,73.02,283,311,,,,,,,,
44,48,14,44.86,288,272,,,,,,,,
15,54,5,39.52,212,286,,,,,,,,
25,3,14,86.16,115,274,,,,,,,,
40,26,59,70.24,394,315,,,,,,,,
47,44,4,30.07,242,255,,,,,,,,
47,52,77,65.93,558,317,,,,,,,,
25,11,75,55.32,383,345,,,,,,,,
51,6,8,28.55,152,234,,,,,,,,
4,20,14,37.38,124,326,,,,,,,,
16,22,12,35.03,146,292,,,,,,,,
29,84,55,39.82,530,315,,,,,,,,
41,73,82,85.93,629,321,,,,,,,,
17,25,63,51.01,361,344,,,,,,,,
12,88,39,30.15,444,319,,,,,,,,
7,5,45,34.68,209,367,,,,,,,,
48,52,70,34.19,532,313,,,,,,,,
3,14,58,70.73,280,373,,,,,,,,
39,4,50,52.19,290,312,,,,,,,,
31,81,70,47.46,585,321,,,,,,,,
29,33,67,34.89,425,329,,,,,,,,
4,79,59,80.27,481,339,,,,,,,,
29,1,11,70.57,105,256,,,,,,,,
3,57,25,73.33,277,326,,,,,,,,
35,79,34,65.07,443,299,,,,,,,,
39,85,3,61.33,345,272,,,,,,,,
26,21,67,48.98,383,336,,,,,,,,
45,48,70,36.11,514,315,,,,,,,,
37,12,67,81.48,378,326,,,,,,,,
25,52,44,55.81,382,316,,,,,,,,
5,72,22,81.61,314,317,,,,,,,,
0,90,80,26.36,590,347,,,,,,,,
27,44,6,75.19,210,273,,,,,,,,
